Reference Handle,Token,Item Name,Customer-facing name,Variation Name,Unit and Precision,SKU,Description,Categories,Reporting Category,SEO Title,SEO Description,Permalink,GTIN,Square Online Item Visibility,Item Type,Weight (kg),Social Media Link Title,Social Media Link Description,Shipping Enabled,Self-serve Ordering Enabled,Delivery Enabled,Pickup Enabled,Price,Online sale price,Archived,Sellable,Contains alcohol,Stockable,Skip Detail screen in POS,Option Name 1,Option Value 1,Default Unit Cost,Default Vendor Name,Default Vendor Code,Current Quantity Wild Octave Organics,New Quantity Wild Octave Organics,Stock Alert Enabled Wild Octave Organics,Stock Alert Count Wild Octave Organics,Modifier Set - 01 Coffee Type,Modifier Set - 02 Milk,Modifier Set - 03 strength,Modifier Set - 04 Sugar / Sweetener,Modifier Set - 05 Half & Half Hot Drink,Modifier Set - 06 Drink Heat,Modifier Set - Add-Ons,Modifier Set - Decaf,Modifier Set - Fruits - custom,Modifier Set - Fruits - Custom (Custom Juice Only),Modifier Set - iced,Modifier Set - Juice instead of milk,Modifier Set - Mushroom Booster Mod,Modifier Set - on side,Modifier Set - Own Cup,Modifier Set - Smoothie milks,Modifier Set - Super Foods & Mush Add-On,Tax - GST (10%),Tax - GST Free (0%)
#grants-whitening-toothpaste-110gm-,KZSF6NE2QDW4JKADLSV63JZY,Grants Whitening Toothpaste 110gm,,,,,,Shop > Personal Care (CWMHWQSHJYJ527JYW5CUKALQ),Shop > Personal Care (CWMHWQSHJYJ527JYW5CUKALQ),,,,9312812004109,unavailable,Physical good,,,,Y,N,N,N,5.70,,N,,N,,N,,,3.13,Little Valley,,0,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#grants-whitening-ha-110g-,S2L7VFNWWZUV3VIB56QKEGQM,Grants Whitening+HA 110g,,,,,,Shop > Personal Care (CWMHWQSHJYJ527JYW5CUKALQ),Shop > Personal Care (CWMHWQSHJYJ527JYW5CUKALQ),,,,9312812009104,visible,Physical good,,,,Y,N,N,N,6.15,,N,,N,,N,,,3.38,,,1,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#grape-red-,PUNEQO3XAY2Y3XRYMKXPLIND,Grape Red,,,Kilogram 1.000,,,Shop > Fruit & Veg,Shop > Fruit & Veg,,,,,visible,Physical good,,,,Y,N,N,N,23.00,,N,,N,,N,,,11.00,United Organics,,-0.335,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
#grapefruit-dish-liquid-1l-ecostore-,ZSZLBXXQVL7Q3GCWPDMOWPL7,Grapefruit Dish Liquid 1l ecostore,,,,,,"Shelf Labels > Label  Home and Cleaning, Shop > Groceries",Shop > Groceries,,,,9420015011043,unavailable,Physical good,,,,Y,N,N,N,10.15,,N,,N,,N,,,5.60,Soulfresh APAC Pty Ltd,,4,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#grapefruit-infused-oil-11ml-springfields-,I3VG7GAOHSNZJ2YSRSKMBI46,"Grapefruit Infused Oil 11ml, Springfields",,,,,,Shop > Personal Care (H4RA2MSLAW6URCW7CVYMAJD6),Shop > Personal Care (H4RA2MSLAW6URCW7CVYMAJD6),,,,655754012870,visible,Physical good,,,,Y,,,,20.60,,N,,N,,N,,,11.35,,,3,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#grapefruit-ruby-regular,7B4WFD3YKWNZLENIHFKUSG4W,Grapefruit Ruby,,Regular,Kilogram 1.000,,,Shop > Fruit & Veg,Shop > Fruit & Veg,,,,,visible,Physical good,,,,Y,N,N,N,7.45,,N,,N,,N,,,4.26,United Organics,,38.865,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
#grapefruit-yellow-regular,M5JFWVVMXYVISEFTHOR77OYW,Grapefruit Yellow,,Regular,Kilogram 1.000,,,Shop > Fruit & Veg,Shop > Fruit & Veg,,,,,visible,Physical good,,,,Y,N,N,N,6.90,,N,,N,,N,,,3.93,United Organics,,-9.25,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
#grass-roots-hemp-seed-oil-250ml-,ZCDDWCSNUD443LOLRTNM5UY5,Grass Roots Hemp Seed Oil 250ml,,,,,,"Shop > Supplements, Shelf Labels > Label  Supps Fridge",Shop > Supplements,,,,9357102009945,visible,Physical good,,,,Y,,,,15.40,,N,,,,,,,8.48,,,0,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#grass-roots-org-hemp-hearts-500g-,QJGZ673ECGN5QV6VGZIWN2KN,Grass Roots Org Hemp Hearts 500g,,,,,,Shop > Personal Care (H4RA2MSLAW6URCW7CVYMAJD6),Shop > Personal Care (H4RA2MSLAW6URCW7CVYMAJD6),,,,9357102010156,visible,Physical good,,,,Y,,,,25.75,,N,,,,,,,15.61,Good n Natural,,0,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
#gratitude-diary-2025-regular,RMFK4Q5UNCGT46WBG5YSDDKY,Gratitude Diary 2025,,Regular,,9780645391022,,Shop > House,Shop > House,,,,9780645391022,unavailable,Physical good,,,,Y,N,N,N,39.95,,Y,,N,,N,,,21.00,,,1,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#gratitude-diary-2026-regular,23NHTCSIG2HH7DGNKJE5QIAD,Gratitude Diary 2026,,Regular,,9780645391022,,Shop > House,Shop > House,,,,9781923208605,unavailable,Physical good,,,,Y,N,N,N,42.95,,N,,N,,N,,,21.00,Lisa Rose Whiting,,6,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#gratitude-eco-incense-20g-holy-smoke-,XIUQQU64NJQ6FL4AYHKHHNGN,"Gratitude eco incense 20g, Holy Smoke",,,,,,"Shop > House, Shelf Labels > Label  Incense",Shop > House,,,,793591908021,visible,Physical good,,,,Y,,,,6.30,,N,,,,,,,3.47,,,1,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#graviola-leaf-100ml-liquid-leaf-extract-,RLDYYJPEPZVKIZHRP65IV2EQ,Graviola Leaf 100ml Liquid Leaf Extract,,,,,,"Shop > Supplements, Shelf Labels > Label  Supplements Side",Shop > Supplements,,,,689358650008,visible,Physical good,,,,Y,,,,44.00,,N,,,,,,,24.24,,,0,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#great-origin-daigen-koh-incense-pack-,GDC5BVVVREPEQNIKUJFE3FZ3,Great Origin Daigen-Koh incense pack,,,,,,"Shop > House, Shelf Labels > Label  Incense",Shop > House,,,,,visible,Physical good,,,,Y,N,N,N,7.95,,N,,N,,N,,,3.61,,,2,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#greek-style-dairy-free-yoghurt-1kg-knox-aya-regular,DEEFM2AYENZ4PC6UQVMSSREO,"Greek Style Dairy Free Yoghurt 1kg, Knox & Aya",,Regular,,,,"Shelf Labels > Label  Dairy Fridge, Shop > Fridge & Freezer",Shop > Fridge & Freezer,,,,725806104041,visible,Physical good,,,,Y,N,N,N,18.60,,N,,N,,N,,,12.40,Knox & Aya,,0,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
#greek-style-dairy-free-yoghurt-500g-knox-aya-regular,CPLH4BD4HBOUADHRTTSRGIF7,Greek Style Dairy Free Yoghurt 500g Knox & Aya,,Regular,,,,"Shelf Labels > Label  Dairy Fridge, Shop > Fridge & Freezer",Shop > Fridge & Freezer,,,,725806104034,visible,Physical good,,,,Y,N,N,N,11.25,,N,,N,,N,,,7.50,Knox & Aya,,3,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
#green-barley-grass-1kg-grasses-of-life-org-,NGBBW3QIGE6W2J6TJKY4NYPZ,"Green Barley Grass 1kg, Grasses Of Life, Org",,,,,,"Shop > Supplements, Shelf Labels > Label  Supplements Back",Shop > Supplements,,,,744109828102,visible,Physical good,,,,Y,,,,99.00,,N,,,,,,,54.55,,,2,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#green-booster-serum-30ml-ere-perez-,I6LIHT5JQQL6KPOJLZNCLBHT,"Green Booster Serum 30ml, Ere Perez",,,,,,Shop > Personal Care (CWMHWQSHJYJ527JYW5CUKALQ),Shop > Personal Care (CWMHWQSHJYJ527JYW5CUKALQ),,,,9351748000502,visible,Physical good,,,,Y,N,N,N,53.15,,N,,N,,N,,,29.28,Ere Perez,,1,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#green-curry-paste-100g-lumlum-org-,I7HMJ46QCDCZZR5MMMCLUL6T,"Green Curry Paste 100g, Lumlum Org",,,,,,"Shop > Groceries, Shelf Labels > Label  International Groceries",Shop > Groceries,,,,8859060300078,visible,Physical good,,,,Y,N,N,N,9.20,,N,,N,,N,,,5.06,BioLiving,,4,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
#green-dream-smoothie-regular,Q3D46M6LV3XKTW4MBAF443FN,Green Dream Smoothie,,Regular,,5270640,"Spirulina powder, vital greens, baby spinach leaves, dates, banana coconut water","Cafe > Cafe Drinks, Cafe > Smoothies",Cafe > Cafe Drinks,,,,,visible,Prepared food and beverage,,,,Y,N,N,N,14.00,,N,,N,,N,,,,,,-399,,,,N,N,N,Y,N,N,N,N,Y,N,N,Y,N,N,Y,Y,Y,Y,N
#green-goddess-vegan-dressing-250ml-ozganics-,2SNBYS3KTB2JC7T4MD3ZWMU4,"Green Goddess Vegan Dressing 250ml, Ozganics",,,,,,"Shop > Groceries, Shelf Labels > Label  Cooking Oils",Shop > Groceries,,,,9327304000149,visible,Physical good,,,,Y,,,,7.65,,N,,,,,,,4.64,,,0,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
#green-juice-lrg,BX7F64L3XHDHA2M3T4YCW5YC,Green Juice,,LRG,,,"Green apple, celery, parsley, lemon, ginger, cucumber","Cafe > Cafe Drinks, Cafe > Juices",Cafe > Cafe Drinks,,,,,visible,Prepared food and beverage,,,,Y,N,N,N,18.00,,N,,N,,N,OJ Sizes,LRG,,,,-335,,,,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,Y,N
#green-nutritionals-vegan-caps-180-org-spirulina-,OHDKPGQ336AQ6UWSMB5MVWGC,"Green Nutritionals Vegan Caps 180, Org Spirulina",,,,,,"Shop > Supplements, Shelf Labels > Label  Supplements Back",Shop > Supplements,,,,9322837007085,visible,Physical good,,,,Y,N,N,N,59.30,,N,,N,,N,,,32.67,,,1,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#green-olives-pitted-org-315g-ceres-regular,M6IVUXLBSRMEO7GEJBHOSCRY,"Green Olives Pitted Org 315g, Ceres",,Regular,,,,"Shelf Labels > Label  International Groceries, Shop > Groceries",Shop > Groceries,,,,9415748012993,visible,Physical good,,,,Y,N,N,N,11.50,,N,,N,,N,,,6.97,,,0,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
#green-superfoods-org-120g-green-nutritionals-regular,KSBDTUFGP7ZWVSVMN3LUMKKJ,"Green Superfoods org, 120g, Green Nutritionals",,Regular,,,,"Shop > Supplements, Shelf Labels > Label  Supplements Back",Shop > Supplements,,,,9322837006712,visible,Physical good,,,,Y,N,N,N,28.05,,N,,N,,N,,,17.01,Martin & Pleasance Wholesale,,2,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
#green-superfoods-org-450g-green-nutritionals-regular,L4BZEHWR4WZZTCP427LX563O,"Green Superfoods org, 450g, Green Nutritionals",,Regular,,,,"Shelf Labels > Label  Supplements Back, Shop > Supplements",Shop > Supplements,,,,9322837006729,visible,Physical good,,,,Y,N,N,N,89.95,,N,,N,,N,,,54.52,Martin & Pleasance Wholesale,,1,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
#green-tea-50-sticks-holder-morning-star-,YWWHDM564KJWCZPSJJ452MVD,"Green Tea 50 Sticks & Holder, Morning Star",,,,,,"Shop > House, Shelf Labels > Label  Incense",Shop > House,,,,011391987115,visible,Physical good,,,,Y,N,N,N,7.30,,N,,N,,N,,,4.02,,,6,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#green-tea-control-paper-ere-perez-,WMBVLXFXVLAKOOWZIRVECTXM,"Green Tea Control Paper, Ere Perez",,,,,,Shop > Personal Care (H4RA2MSLAW6URCW7CVYMAJD6),Shop > Personal Care (H4RA2MSLAW6URCW7CVYMAJD6),,,,9350000000000,visible,Physical good,,,,Y,,,,13.75,,N,,,,,,,7.58,Ere Perez,,0,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#green-tea-herbal-tea-bags-50pk-planet-org-,O7G4LKJL6AHAPYXWRZ6HO7RY,"Green Tea Herbal Tea Bags 50pk, Planet Org",,,,,,"Shop > Groceries, Shelf Labels > Label  Chai and Tea and Coffee",Shop > Groceries,,,,9321728000808,visible,Physical good,,,,Y,N,N,N,8.20,,N,,N,,N,,,4.97,Unique Health Products,,1,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
#green-tea-incense-auroshikha-,3IDMDJJDJ345ZQCXY7SQK226,"Green Tea Incense, Auroshikha",,,,,,"Shop > House, Shelf Labels > Label  Incense Swivel",Shop > House,,,,8904031300592,visible,Physical good,,,,Y,,,,2.10,,N,,,,,,,1.16,,,-3,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#green-tea-liquid-soap-light-green-946ml-dr-bronner-s-hemp-,IW7AAMANVC44C6M3BCKWBC3R,"Green Tea Liquid Soap(LIGHT Green) 946ml, Dr.Bronner'S Hemp",,,,,,Shop > Personal Care (CWMHWQSHJYJ527JYW5CUKALQ),Shop > Personal Care (CWMHWQSHJYJ527JYW5CUKALQ),,,,,visible,Physical good,,,,Y,,,,64.35,,N,,,,,,,35.45,Little Valley,,0,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#green-tea-organic-sml,P5NAFOTNWJURQJQ76AU65LT4,Green Tea Organic,,SML,,,,"Cafe > Cafe Drinks, Cafe > Hot Drinks",Cafe > Cafe Drinks,,,,,visible,Prepared food and beverage,,,,Y,N,N,N,5.00,,N,,N,,N,Hot Drink Sizes,SML,,,,-22,,,,N,Y,N,Y,N,N,N,N,N,N,N,N,Y,N,Y,N,N,Y,N
#green-tea-organic--lrg-,XO4DRWA3XG2UBYYOS7WPXZJH,Green Tea Organic,,***LRG***,,,,"Cafe > Cafe Drinks, Cafe > Hot Drinks",Cafe > Cafe Drinks,,,,,visible,Prepared food and beverage,,,,,,,,8.00,,N,,,,N,Hot Drink Sizes,***LRG***,,,,-2,,,,N,Y,N,Y,N,N,N,N,N,N,N,N,Y,N,Y,N,N,Y,N
#green-tea-pure-castile-soap-946ml-dr-bronner-s-org-regular,OLQ2IPASBCCO5ILUQRAHHITE,Green Tea Pure Castile Soap  946ml Dr Bronner’s Org,,Regular,,,,"Shelf Labels > Label  Soap, Shop > Personal Care (H4RA2MSLAW6URCW7CVYMAJD6)",Shop > Personal Care (H4RA2MSLAW6URCW7CVYMAJD6),,,,018787779323,visible,Physical good,,,,Y,N,N,N,46.35,,N,,N,,N,,,25.54,,,3,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#green-tea-pure-castile-soap-473ml-dr-bronner-s-org-regular,CIWTKH3VXLKTE7GWGXPRQ5UM,Green Tea Pure Castile Soap 473ml Dr Bronner’s Org,,Regular,,,,"Shelf Labels > Label  Soap, Shop > Personal Care (H4RA2MSLAW6URCW7CVYMAJD6)",Shop > Personal Care (H4RA2MSLAW6URCW7CVYMAJD6),,,,018787779163,visible,Physical good,,,,Y,N,N,N,28.80,,N,,N,,N,,,15.88,Little Valley,,4,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#green-vitamin-c-120-caps-green-nutritionals-org-,PYJLXFIH2JZFQZOBDZA2YFMU,"Green Vitamin C 120 Caps, green nutritionals org",,,,,,"Shop > Supplements, Shelf Labels > Label  Supplements Side",Shop > Supplements,,,,9322837004206,visible,Physical good,,,,Y,,,,61.80,,N,,,,N,,,34.06,,,1,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#green-wheat-grass-1kg-grasses-of-life-org-,3CAHZ6FUJRYZINQJYKAHHY6C,"Green Wheat Grass 1kg, Grasses Of Life, Org",,,,,,"Shop > Supplements, Shelf Labels > Label  Supplements Back",Shop > Supplements,,,,719239590236,visible,Physical good,,,,Y,,,,95.75,,N,,,,,,,52.75,,,1,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#green-wheat-grass-200g-grasses-of-life-org-,WAVSQ3L2PUESAKIIGJ2KWXJK,"Green Wheat Grass 200g, Grasses Of Life, Org",,,,,,"Shop > Supplements, Shelf Labels > Label  Supplements Back",Shop > Supplements,,,,744109828195,visible,Physical good,,,,Y,,,,24.65,,N,,,,,,,13.58,,,0,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#greens-tahini-regular,NGSDALWXR5XDYRRYX647VCR7,Greens & Tahini,,Regular,,,,Cafe > Cafe Food,Cafe > Cafe Food,,,,,visible,Physical good,,,,Y,N,N,N,1.00,,N,,N,,N,,,0.22,,,-1069,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#greens-no-tahini-regular,D346O5JHPZPQ4FQLH4MPWOW3,Greens no Tahini,,Regular,,,,Cafe > Cafe Food,Cafe > Cafe Food,,,,,visible,Physical good,,,,Y,N,N,N,variable,,N,,N,,N,,,0.22,,,-2,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#greeting-card-christelle-naude-regular,UBC6NWKGP7K2TKDGG57E52DJ,"Greeting Card, Christelle Naude",,Regular,,,,Shop > House,Shop > House,,,,222535669174,unavailable,Physical good,,,,Y,N,N,N,6.50,,N,,N,,N,,,3.50,Christelle Naude,,6,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
#gripe-tea-bags-25-planet-organic-regular,4HTGDM56OAHFJREOT5V7O6H5,"Gripe Tea Bags 25, Planet Organic",,Regular,,,,"Shelf Labels > Label  Tea, Shop > Groceries",Shop > Groceries,,,,9321728008354,unavailable,Physical good,,,,N,N,N,N,10.25,,N,,N,,N,,,6.21,,,5,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
#grocery-bulk-buy-managed--regular,NUIPW5Z7KITTYNQRI75P37TT,Grocery bulk buy (managed),,Regular,Bulk Buy 1.000,,,Shop > Groceries,Shop > Groceries,,,,,visible,Physical good,,,,Y,,,,variable,,N,,,,N,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y
#grounding-barista-blend-500ml-lifecykel-regular,RVL4X2BGY3LJ444STR3CW36I,"Grounding Barista Blend 500ml, Lifecykel",,Regular,,,,"Cafe > Cafe Supplies, Cafe > Cafe Drinks",Cafe > Cafe Drinks,,,,794712893691,unavailable,Physical good,,,,Y,N,N,N,variable,,N,,N,,N,,,181.77,Lifecykel Labs Pty Ltd,,1,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#gut-relief-pwd-180g-nutralife-,GRDWMJB6FVMLAEDXDS5SQXA7,"Gut Relief Pwd 180G, Nutralife",,,,,,"Shop > Supplements, Shelf Labels > Label  Supplements Back",Shop > Supplements,,,,9400581042924,visible,Physical good,,,,Y,,,,65.70,,N,,,,,,,36.20,Clifford Hallam,,4,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#gwen-tempeh-lupin-tempeh-250g-,PKVSDUYEWWLWGOFH6RKA77VL,Gwen Tempeh Lupin Tempeh 250g,,,,,,"Shop > Fridge & Freezer, Shelf Labels > Label  Freezer",Shop > Fridge & Freezer,,,,797776486311,visible,Physical good,,,,Y,,,,variable,,N,,,,,,,,,,0,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
#habanero-hummus-270g-naked-byron-foods-,AIHRWYK6KEANNMRM2JMIT56N,"Habanero Hummus 270g, Naked Byron Foods",,,,,,"Shelf Labels > Label  Dairy Fridge, Shop > Groceries",Shop > Groceries,,,,9314075001048,visible,Physical good,,,,Y,N,N,N,7.50,,N,,N,,N,,,5.00,All Good Foods,,4,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
#habitat-conditioner-all-hair-100ml-regular,6CHOTMXMBUEQHTE3K5YWXNNA,Habitat Conditioner All hair 100ml,,Regular,,,,"Shelf Labels > Label  Soap, Shop > Personal Care (CWMHWQSHJYJ527JYW5CUKALQ)",Shop > Personal Care (CWMHWQSHJYJ527JYW5CUKALQ),,,,9350151001106,visible,Physical good,,,,Y,N,N,N,12.15,,N,,N,,N,,,6.69,,,1,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#habitat-shampoo-all-hair-100ml-regular,KLRHJUG2WNOBS3D7ZYNEZOJE,Habitat Shampoo All hair 100ml,,Regular,,,,"Shelf Labels > Label  Soap, Shop > Personal Care (CWMHWQSHJYJ527JYW5CUKALQ)",Shop > Personal Care (CWMHWQSHJYJ527JYW5CUKALQ),,,,9350151001090,visible,Physical good,,,,Y,N,N,N,12.15,,N,,N,,N,,,6.69,,,0,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#hafla-org-pickled-chillies-240g-,NAVGBIO4YNWW75RCFJUNNOPZ,Hafla Org Pickled Chillies 240g,,,,,,"Shop > Fridge & Freezer, Shelf Labels > Label  Tofu Fridge",Shop > Fridge & Freezer,,,,659359579899,visible,Physical good,,,,Y,,,,18.15,,N,,,,,,,12.10,,,3,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
#hair-recontrusction-treatment-conditioner-org-argan-oil-250ml-hemp-,GJGDBBYYTJAYHLRCV6PB4Q6Z,"Hair Recontrusction Treatment Conditioner Org Argan Oil 250ml, Hemp",,,,,,Shop > Personal Care (CWMHWQSHJYJ527JYW5CUKALQ),Shop > Personal Care (CWMHWQSHJYJ527JYW5CUKALQ),,,,9342121000516,visible,Physical good,,,,Y,N,N,N,14.90,,N,,N,,N,,,8.21,The Good Oil,,1,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#hair-spritz-spray-65ml-giovanni-,6XRAWCN7BKOJXDLNN323HTP3,"Hair Spritz spray 65ml, Giovanni",,,,,,Shop > Personal Care (CWMHWQSHJYJ527JYW5CUKALQ),Shop > Personal Care (CWMHWQSHJYJ527JYW5CUKALQ),,,,716237180513,visible,Physical good,,,,Y,N,N,N,12.30,,N,,N,,N,,,6.79,Unique Health Products,,0,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#hair-tonic-revitalising-w-rosemary-100ml-weleda-,MQUG5CAXFUAESQ22YCOKCJR5,"Hair Tonic Revitalising w Rosemary 100ml, Weleda",,,,,,Shop > Personal Care (CWMHWQSHJYJ527JYW5CUKALQ),Shop > Personal Care (CWMHWQSHJYJ527JYW5CUKALQ),,,,4001638095617,visible,Physical good,,,,Y,,,,25.50,,N,,,,,,,14.05,Clifford Hallam,,0,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#haloumi-200g-symons-org-dairy-org-,W2YVVZ4QHKFP5OSVJAMZKWGS,"Haloumi 200g, Symons Org Dairy Org",,,,,,"Shop > Fridge & Freezer, Shelf Labels > Label  Dairy Fridge",Shop > Fridge & Freezer,,,,9353880000020,visible,Physical good,,,,Y,N,N,N,10.30,,N,,N,,N,,,6.85,United Organics,,1,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
#hamil-al-musk-charcoal-,IVMSPC77KKVIG6BHSIMBQAT3,Hamil Al Musk Charcoal,,,,,,"Shop > House, Shelf Labels > Label  Incense",Shop > House,,,,234668706602,visible,Physical good,,,,Y,N,N,N,1.65,,N,,N,,N,,,0.75,Tulsi Trading Co.,,20,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#hand-citrus-hand-and-nail-cream-50ml-weleda-,4LRWGT73ODQY4XSMJA5UJLJV,"Hand Citrus Hand And Nail Cream 50ml, Weleda",,,,,,Shop > Personal Care (CWMHWQSHJYJ527JYW5CUKALQ),Shop > Personal Care (CWMHWQSHJYJ527JYW5CUKALQ),,,,4001638081306,visible,Physical good,,,,Y,,,,20.65,,N,,,,,,,11.38,,,-1,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#hand-glove-loafer-,SYOSIG5IRSWFN3YATSGJ35W2,Hand Glove Loafer,,,,,,"Shop > House, Shelf Labels > Label  Incense Swivel",Shop > House,,,,,visible,Physical good,,,,Y,,,,13.95,,N,,,,,,,7.69,,,5,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#hand-lotion-orange-lavender-237ml-dr-bronner-s-org-regular,LDKVLHGNKHEB4GFRB7WSBDIH,Hand Lotion Orange Lavender 237ml Dr Bronner’s Org,,Regular,,,,"Shelf Labels > Label  Soap, Shop > Personal Care (H4RA2MSLAW6URCW7CVYMAJD6)",Shop > Personal Care (H4RA2MSLAW6URCW7CVYMAJD6),,,,018787930014,visible,Physical good,,,,Y,,,,28.80,,N,,,,N,,,15.87,,,0,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#hand-lotion-patchouli-lime-237ml-dr-bronner-s-org-regular,WSYJ4GEH7HRQZLIBNYLVXLSC,Hand Lotion Patchouli Lime 237ml Dr Bronner’s Org,,Regular,,,,"Shelf Labels > Label  Soap, Shop > Personal Care (H4RA2MSLAW6URCW7CVYMAJD6)",Shop > Personal Care (H4RA2MSLAW6URCW7CVYMAJD6),,,,018787930038,visible,Physical good,,,,Y,,,,28.80,,N,,,,N,,,15.87,,,1,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#hand-pomegranite-cream-regenerating-50ml-weleda-,RF2FMV7TQ3FWYNROMFXJ3K2Z,"Hand Pomegranite Cream Regenerating 50ml, Weleda",,,,,,Shop > Personal Care (CWMHWQSHJYJ527JYW5CUKALQ),Shop > Personal Care (CWMHWQSHJYJ527JYW5CUKALQ),,,,4001638088459,visible,Physical good,,,,Y,,,,22.30,,N,,,,,,,12.29,Clifford Hallam,,0,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#hand-sanitiser-250ml-pump-simply-clean-lemon-myrtle-,OCZWOSAL4F3VUIR57O4VJVF4,"Hand Sanitiser 250ml Pump, Simply Clean Lemon Myrtle",,,,,,"Shop > Groceries, Shelf Labels > Label  Home and Cleaning",Shop > Groceries,,,,9342935002447,visible,Physical good,,,,Y,N,N,N,13.25,,N,,N,,N,,,7.29,Horizon Foods,,2,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
